id;latitude;longitude;municipio;uf;area1000ha;pib2000;pib2005;pib2010;pib2015
140010;282.384;-606.753;Boa Vista;RR;5;1223;2265;5123;7559
160027;-0.804911;-52.453;Laranjal do Jari;AP;9;92;184;347;560
170730;-113.416;-492.716;Dueré;TO;13;22;43;56;116
170820;-117.976;-495.316;Formoso do Araguaia;TO;29;126;178;215;357
171190;-107.906;-496.199;Lagoa da Confusão;TO;11;42;128;170;449
230760;-514.392;-380.847;Limoeiro do Norte;CE;6;113;270;506;816
231340;-372.965;-409.923;Tianguá;CE;6;123;242;472;867
250300;-751.351;-349.055;Caaporã;PB;10;93;236;269;375
261110;-938.866;-405.027;Petrolina;PE;16;725;1670;3434;5534
261260;-879.766;-398.241;Santa Maria da Boa Vista;PE;7;70;181;286;471
270040;-95.119;-360.086;Atalaia;AL;10;80;154;291;493
270140;-978.451;-363.525;Campo Alegre;AL;7;73;153;245;398
270230;-101.276;-361.717;Coruripe;AL;21;233;436;704;1207
270320;-101.235;-366.597;Igreja Nova;AL;11;57;129;175;341
270770;-947.783;-358.394;Rio Largo;AL;33;189;304;490;855
270860;-978.301;-360.971;São Miguel dos Campos;AL;10;267;448;892;1030
270915;-991.656;-363.492;Teotônio Vilela;AL;5;55;135;247;395
290110;-123.914;-387.563;Amélia Rodrigues;BA;8;42;88;151;265
290320;-121.439;-449.968;Barreiras;BA;24;962;1236;1922;3716
290930;-133.477;-446.333;Correntina;BA;9;128;370;572;1295
291840;-941.622;-405.033;Juazeiro;BA;29;645;1136;1800;3131
291950;-136.369;-418.432;Livramento de Nossa Senhora;BA;6;76;127;285;406
292190;-130.053;-413.703;Mucugê;BA;5;42;103;182;340
292890;-123.572;-449.769;São Desidério;BA;15;236;798;959;2717
310350;-186.456;-481.934;Araguari;MG;16;700;1540;2148;3697
311930;-184.734;-471.933;Coromandel;MG;6;151;279;479;806
313630;-177.398;-461.715;João Pinheiro;MG;6;148;336;617;1178
314310;-187.302;-474.912;Monte Carmelo;MG;6;222;404;743;1119
314700;-172.252;-468.711;Paracatu;MG;14;414;778;1701;2848
317040;-163.592;-469.022;Unaí;MG;17;388;831;1330;2439
320150;-195.493;-406.269;Colatina;ES;7;655;1071;1882;3195
320320;-193.946;-400.643;Linhares;ES;14;742;1402;3275;5239
320455;-200.253;-407.439;Santa Maria de Jetibá;ES;6;130;295;519;1046
320460;-199.363;-405.979;Santa Teresa;ES;6;117;165;251;404
330100;-217.622;-413.181;Campos dos Goytacazes;RJ;26;5645;16653;38684;34217
350500;-236.284;-495.634;Barão de Antonina;SP;6;10;17;25;71
351080;-217.708;-470.852;Casa Branca;SP;8;173;333;430;618
351740;-203.196;-48.312;Guaíra;SP;15;350;515;1034;1713
351970;-236.596;-47.223;Ibiúna;SP;9;271;463;786;1500
352230;-235.886;-480.483;Itapetininga;SP;5;837;1589;2574;4126
352680;-226.027;-488.037;Lençóis Paulista;SP;9;555;1159;1574;2273
352800;-225.002;-487.102;Macatuba;SP;7;192;423;255;561
353070;-223.675;-469.428;Mogi Guaçu;SP;5;1167;1838;3593;5186
353190;-207.288;-480.581;Morro Agudo;SP;8;279;465;741;1062
353730;-214.148;-500.769;Penápolis;SP;5;339;719;874;1356
353780;-237.139;-474.256;Piedade;SP;8;254;365;607;1135
353800;-229.246;-454.613;Pindamonhangaba;SP;22;1305;2611;3856;6641
354020;-210.216;-480.423;Pontal;SP;7;216;408;664;861
354630;-218.235;-47.248;Santa Cruz das Palmeiras;SP;8;104;213;292;414
354910;-219.707;-467.944;São João da Boa Vista;SP;8;722;1120;1756;2698
354970;-215.953;-468.873;São José do Rio Pardo;SP;5;429;666;1185;1656
355170;-211.316;-479.875;Sertãozinho;SP;6;6;13;24;40
355640;-218.322;-468.913;Vargem Grande do Sul;SP;7;201;280;446;839
421080;-288.244;-496.378;Meleiro;SC;8;43;93;129;203
421880;-289.272;-496.831;Turvo;SC;9;48;106;202;320
430010;-296.447;-532.515;Agudo;RS;7;101;168;245;429
430040;-297.902;-557.949;Alegrete;RS;46;407;745;1064;1820
430085;-309.092;-515.046;Arambaré;RS;11;26;39;67;130
430130;-322.327;-530.862;Arroio Grande;RS;30;100;170;298;509
430160;-313.297;-540.999;Bagé;RS;12;584;910;1288;2564
430190;-302.939;-513.014;Barra do Ribeiro;RS;10;53;91;168;295
430290;-298.883;-54.822;Cacequi;RS;18;62;103;158;311
430300;-30.033;-528.928;Cachoeira do Sul;RS;31;403;692;1222;2124
430350;-308.489;-518.043;Camaquã;RS;24;412;698;1034;1718
430420;-296.684;-527.895;Candelária;RS;6;131;244;384;667
430466;-317.565;-524.889;Capão do Leão;RS;6;117;208;272;521
430605;-310.046;-520.436;Cristal;RS;6;26;46;92;165
430660;-309.756;-546.694;Dom Pedrito;RS;39;226;400;622;1180
430840;-300.035;-534.959;Formigueiro;RS;8;31;48;85;173
431060;-291.311;-565.515;Itaqui;RS;67;294;486;686;1164
431100;-325.604;-53.377;Jaguarão;RS;28;129;233;328;601
431250;-311.054;-509.167;Mostardas;RS;22;67;123;200;283
431365;-302.535;-505.103;Palmares do Sul;RS;24;65;119;178;407
431440;-317.649;-523.371;Pelotas;RS;14;1683;2629;4228;7390
431530;-30.384;-564.483;Quaraí;RS;8;101;163;242;406
431550;-298.188;-533.807;Restinga Seca;RS;13;105;131;216;382
431560;-320.349;-521.071;Rio Grande;RS;13;1850;3015;5143;7275
431570;-29.988;-523.711;Rio Pardo;RS;12;175;286;439;828
431640;-302.515;-549.221;Rosário do Sul;RS;22;168;283;521;847
431690;-296.868;-538.149;Santa Maria;RS;12;6;13;22;58
431710;-308.773;-555.392;Santana do Livramento;RS;11;395;660;1011;1901
431730;-33.525;-533.717;Santa Vitória do Palmar;RS;50;178;289;451;834
431760;-298.268;-505.175;Santo Antônio da Patrulha;RS;8;167;299;573;1063
431800;-286.578;-560.036;São Borja;RS;48;332;690;982;1613
431830;-303.337;-543.217;São Gabriel;RS;38;22;42;69;113
431880;-313.564;-519.715;São Lourenço do Sul;RS;10;177;322;485;943
431960;-301.643;-535.603;São Sepé;RS;17;118;204;329;695
431980;-296.882;-546.826;São Vicente do Sul;RS;10;37;65;102;230
432110;-306.683;-513.991;Tapes;RS;12;76;119;207;325
432240;-297.614;-570.853;Uruguaiana;RS;93;707;1651;1519;2625
432300;-300.819;-510.194;Viamão;RS;11;683;1330;1949;3239
500230;-212.544;-520.365;Brasilândia;MS;17;86;140;335;568
500370;-222.231;-54.812;Dourados;MS;5;1023;1807;3765;7284
500660;-225.296;-557.203;Ponta Porã;MS;13;304;501;1050;2255
500720;-218.033;-545.427;Rio Brilhante;MS;7;177;295;1039;1682
500793;-175.698;-547.551;Sonora;MS;6;119;159;314;589
510263;-136.587;-578.907;Campo Novo do Parecis;MT;48;362;1053;1026;2111
520860;-153.118;-491.162;Goianésia;GO;8;175;451;677;1098
521170;-170.481;-501.453;Jandaia;GO;6;54;141;147;192
530010;-157.795;-479.297;Brasília;DF;13;46475;80527;144174;215613
